SO_2021_10_26_Instance_4	PMC1626394.nxml.gz_17	2594 2607	mitochondrial	SO_biobert_model_local_PMC1626394.nxml.gz
SO_2021_10_26_Instance_468	PMC4683322.nxml.gz_0	288 293	genes	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_469	PMC4683322.nxml.gz_0	452 457	genes	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_470	PMC4683322.nxml.gz_1	635 641	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_471	PMC4683322.nxml.gz_1	663 664;664 665;665 668	3 ′ UTR	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_472	PMC4683322.nxml.gz_3	770 774;775 776;776 777;777 778;779 789	poly ( A ) polymerase	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_473	PMC4683322.nxml.gz_3	839 843;844 845;845 846;846 847;848 855	poly ( T ) adapter	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_474	PMC4683322.nxml.gz_5	946 952	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_475	PMC4683322.nxml.gz_6	1007 1013	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_476	PMC4683322.nxml.gz_7	1092 1098	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_477	PMC4683322.nxml.gz_7	1102 1108	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_478	PMC4683322.nxml.gz_7	1212 1213;1213 1216	′ UTR	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_479	PMC4683322.nxml.gz_8	1411 1417	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_480	PMC4683322.nxml.gz_8	1451 1457	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_481	PMC4683322.nxml.gz_8	1940 1945	genes	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_482	PMC4683322.nxml.gz_15	2850 2856	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_483	PMC4683322.nxml.gz_15	2989 2994	genes	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_484	PMC4683322.nxml.gz_16	3105 3111	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_485	PMC4683322.nxml.gz_17	3138 3139;3139 3140;3140 3143	3 ′ UTR	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_486	PMC4683322.nxml.gz_17	3150 3154	gene	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_487	PMC4683322.nxml.gz_18	3247 3253	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_488	PMC4683322.nxml.gz_19	3308 3314	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_489	PMC4683322.nxml.gz_19	3358 3363	miRNA	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_490	PMC4683322.nxml.gz_20	3408 3414	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_491	PMC4683322.nxml.gz_20	3418 3424	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_492	PMC4683322.nxml.gz_21	3484 3490	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_493	PMC4683322.nxml.gz_21	3541 3547	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_494	PMC4683322.nxml.gz_21	3548 3555;3556 3561	binding sites	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_495	PMC4683322.nxml.gz_21	3571 3574	UTR	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_496	PMC4683322.nxml.gz_23	3603 3611	MicroRNA	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_497	PMC4683322.nxml.gz_24	3840 3844;3844 3845;3845 3846;3847 3851	poly - A tail	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_498	PMC4683322.nxml.gz_24	3875 3885	transcript	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_499	PMC4683322.nxml.gz_24	3922 3926;3927 3928;3928 3929;3929 3930	Poly ( A )	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_500	PMC4683322.nxml.gz_25	4057 4058;4058 4059;4059 4060	( A )	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_501	PMC4683322.nxml.gz_28	4398 4402	gene	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_502	PMC4683322.nxml.gz_28	4412 4419	primers	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_503	PMC4683322.nxml.gz_29	4520 4524;4524 4525;4525 4526;4526 4527;4527 4533	poly - A - tailed	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_504	PMC4683322.nxml.gz_29	4534 4539	miRNA	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_505	PMC4683322.nxml.gz_33	5127 5134	primers	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_506	PMC4683322.nxml.gz_34	5283 5288	miRNA	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_507	PMC4683322.nxml.gz_34	5326 5331	snRNA	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_508	PMC4683322.nxml.gz_34	5357 5361	gene	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_509	PMC4683322.nxml.gz_34	5393 5399	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_510	PMC4683322.nxml.gz_36	5514 5520	primer	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_511	PMC4683322.nxml.gz_36	5540 5546	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_512	PMC4683322.nxml.gz_38	5713 5719	miRNAs	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_513	PMC4683322.nxml.gz_38	5783 5784;5784 5785;5785 5788	3 ′ UTR	SO_biobert_model_local_PMC4683322.nxml.gz
SO_2021_10_26_Instance_516	PMC4859539.nxml.gz_11	2213 2214;2214 2215;2215 2220	α - helix	SO_biobert_model_local_PMC4859539.nxml.gz
SO_2021_10_26_Instance_518	PMC4897523.nxml.gz_52	8359 8366	genetic	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_519	PMC4897523.nxml.gz_71	11148 11158;11159 11171	Nucleotide polymorphism	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_520	PMC4897523.nxml.gz_71	11203 11207	gene	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_521	PMC4897523.nxml.gz_72	11525 11529	gene	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_522	PMC4897523.nxml.gz_73	11548 11555	genetic	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_523	PMC4897523.nxml.gz_73	11594 11599	genes	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_524	PMC4897523.nxml.gz_73	11663 11667	gene	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_525	PMC4897523.nxml.gz_74	11728 11732	gene	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_526	PMC4897523.nxml.gz_107	16349 16353	gene	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_527	PMC4897523.nxml.gz_114	17241 17248	genetic	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_528	PMC4897523.nxml.gz_200	30472 30479	genetic	SO_biobert_model_local_PMC4897523.nxml.gz
SO_2021_10_26_Instance_530	PMC4954778.nxml.gz_5	998 1002	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_531	PMC4954778.nxml.gz_9	1859 1864	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_532	PMC4954778.nxml.gz_18	4130 4134	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_533	PMC4954778.nxml.gz_21	4871 4875	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_534	PMC4954778.nxml.gz_49	8415 8419	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_535	PMC4954778.nxml.gz_52	8701 8705	Gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_536	PMC4954778.nxml.gz_54	9157 9161	Gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_537	PMC4954778.nxml.gz_55	9306 9311	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_538	PMC4954778.nxml.gz_61	10968 10975	genomic	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_539	PMC4954778.nxml.gz_62	11317 11323	genome	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_540	PMC4954778.nxml.gz_66	11812 11816	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_541	PMC4954778.nxml.gz_72	12873 12877	Gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_542	PMC4954778.nxml.gz_76	13550 13555	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_543	PMC4954778.nxml.gz_80	14268 14272	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_544	PMC4954778.nxml.gz_86	15748 15753	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_545	PMC4954778.nxml.gz_87	16241 16246	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_546	PMC4954778.nxml.gz_88	16336 16341	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_547	PMC4954778.nxml.gz_97	18633 18638	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_548	PMC4954778.nxml.gz_107	20456 20461	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_549	PMC4954778.nxml.gz_109	20986 20990	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_550	PMC4954778.nxml.gz_111	21162 21167	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_551	PMC4954778.nxml.gz_111	21184 21189	genes	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_552	PMC4954778.nxml.gz_112	21491 21495	gene	SO_biobert_model_local_PMC4954778.nxml.gz
SO_2021_10_26_Instance_555	PMC4992225.nxml.gz_62	8345 8352	genetic	SO_biobert_model_local_PMC4992225.nxml.gz
SO_2021_10_26_Instance_557	PMC5030620.nxml.gz_6	1601 1607	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_558	PMC5030620.nxml.gz_7	1862 1869	genetic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_559	PMC5030620.nxml.gz_10	2257 2261	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_560	PMC5030620.nxml.gz_11	2558 2562	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_561	PMC5030620.nxml.gz_12	2653 2659	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_562	PMC5030620.nxml.gz_14	3139 3146	genetic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_563	PMC5030620.nxml.gz_17	4194 4197;4197 4198;4198 4204	non - coding	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_564	PMC5030620.nxml.gz_25	6678 6685	histone	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_565	PMC5030620.nxml.gz_25	6770 6774	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_566	PMC5030620.nxml.gz_28	7268 7274	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_567	PMC5030620.nxml.gz_28	7383 7386	CpG	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_568	PMC5030620.nxml.gz_28	7387 7394	islands	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_569	PMC5030620.nxml.gz_29	7495 7501	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_570	PMC5030620.nxml.gz_29	7539 7549;7550 7558	regulatory elements	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_571	PMC5030620.nxml.gz_29	7567 7576	promoters	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_572	PMC5030620.nxml.gz_30	7691 7695	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_573	PMC5030620.nxml.gz_31	7834 7842	promoter	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_574	PMC5030620.nxml.gz_41	9411 9414;9414 9415;9415 9421;9422 9426	non - coding RNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_575	PMC5030620.nxml.gz_41	9461 9467;9468 9472	coding RNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_576	PMC5030620.nxml.gz_41	9474 9481	sncRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_577	PMC5030620.nxml.gz_41	9519 9525	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_578	PMC5030620.nxml.gz_41	9527 9533;9534 9542	single stranded	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_579	PMC5030620.nxml.gz_41	9587 9593;9594 9602	single stranded	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_580	PMC5030620.nxml.gz_41	9630 9635;9636 9647;9648 9652	short interfering RNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_581	PMC5030620.nxml.gz_41	9654 9661	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_582	PMC5030620.nxml.gz_41	9663 9669;9670 9678	double stranded	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_583	PMC5030620.nxml.gz_42	9727 9733	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_584	PMC5030620.nxml.gz_43	9863 9870;9870 9871;9871 9877;9878 9883	protein - coding genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_585	PMC5030620.nxml.gz_44	9977 9983	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_586	PMC5030620.nxml.gz_46	10186 10193	genomes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_587	PMC5030620.nxml.gz_47	10373 10377	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_588	PMC5030620.nxml.gz_48	10526 10530	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_589	PMC5030620.nxml.gz_49	10549 10556	lncRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_590	PMC5030620.nxml.gz_49	10729 10736	sncRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_591	PMC5030620.nxml.gz_49	10759 10763	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_592	PMC5030620.nxml.gz_50	10861 10867	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_593	PMC5030620.nxml.gz_50	10876 10880	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_594	PMC5030620.nxml.gz_50	11045 11051	piRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_595	PMC5030620.nxml.gz_50	11056 11063	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_596	PMC5030620.nxml.gz_50	11099 11107	elements	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_597	PMC5030620.nxml.gz_51	11177 11183	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_598	PMC5030620.nxml.gz_51	11212 11216	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_599	PMC5030620.nxml.gz_51	11290 11296	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_600	PMC5030620.nxml.gz_56	12809 12815	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_601	PMC5030620.nxml.gz_57	13027 13034	genomes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_602	PMC5030620.nxml.gz_57	13100 13105	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_603	PMC5030620.nxml.gz_59	13297 13302	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_604	PMC5030620.nxml.gz_68	14754 14760	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_605	PMC5030620.nxml.gz_70	15084 15091	sncRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_606	PMC5030620.nxml.gz_70	15121 15127	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_607	PMC5030620.nxml.gz_71	15187 15193	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_608	PMC5030620.nxml.gz_71	15243 15250	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_609	PMC5030620.nxml.gz_72	15358 15364	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_610	PMC5030620.nxml.gz_72	15379 15384	miRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_611	PMC5030620.nxml.gz_73	15601 15607	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_612	PMC5030620.nxml.gz_73	15667 15674	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_613	PMC5030620.nxml.gz_73	15718 15724	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_614	PMC5030620.nxml.gz_74	15800 15806	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_615	PMC5030620.nxml.gz_74	15905 15910	miRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_616	PMC5030620.nxml.gz_74	15999 16005	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_617	PMC5030620.nxml.gz_75	16036 16043	genomic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_618	PMC5030620.nxml.gz_76	16251 16257	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_619	PMC5030620.nxml.gz_78	16588 16593	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_620	PMC5030620.nxml.gz_78	16609 16611;16611 16612;16612 16618	of - origin	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_621	PMC5030620.nxml.gz_78	16690 16696	allele	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_622	PMC5030620.nxml.gz_78	16763 16767	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_623	PMC5030620.nxml.gz_79	16834 16839	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_624	PMC5030620.nxml.gz_80	17025 17030	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_625	PMC5030620.nxml.gz_80	17094 17099	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_626	PMC5030620.nxml.gz_82	17438 17444	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_627	PMC5030620.nxml.gz_82	17534 17540	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_628	PMC5030620.nxml.gz_85	17942 17947	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_629	PMC5030620.nxml.gz_85	18019 18024	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_630	PMC5030620.nxml.gz_87	18346 18352	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_631	PMC5030620.nxml.gz_88	18399 18406	genomic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_632	PMC5030620.nxml.gz_94	18883 18889	sncRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_633	PMC5030620.nxml.gz_94	18926 18932	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_634	PMC5030620.nxml.gz_95	19057 19062	miRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_635	PMC5030620.nxml.gz_95	19119 19125	esiRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_636	PMC5030620.nxml.gz_95	19135 19141	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_637	PMC5030620.nxml.gz_95	19180 19186	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_638	PMC5030620.nxml.gz_95	19220 19227	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_639	PMC5030620.nxml.gz_98	19638 19642	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_640	PMC5030620.nxml.gz_102	20114 20118	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_641	PMC5030620.nxml.gz_103	20285 20291	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_642	PMC5030620.nxml.gz_103	20340 20345;20346 20357;20358 20362	short interfering RNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_643	PMC5030620.nxml.gz_103	20364 20371	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_644	PMC5030620.nxml.gz_103	20446 20450	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_645	PMC5030620.nxml.gz_106	20824 20830	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_646	PMC5030620.nxml.gz_106	20877 20885	elements	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_647	PMC5030620.nxml.gz_106	20887 20903	retrotransposons	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_648	PMC5030620.nxml.gz_108	21117 21121	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_649	PMC5030620.nxml.gz_117	23074 23082;23083 23091	promotor elements	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_650	PMC5030620.nxml.gz_127	24856 24860	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_651	PMC5030620.nxml.gz_135	26115 26121	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_652	PMC5030620.nxml.gz_135	26129 26136	esiRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_653	PMC5030620.nxml.gz_136	26496 26501	miRNA	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_654	PMC5030620.nxml.gz_142	27751 27760	enhancers	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_655	PMC5030620.nxml.gz_142	27762 27771	promoters	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_656	PMC5030620.nxml.gz_142	27776 27780	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_657	PMC5030620.nxml.gz_145	28374 28380	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_658	PMC5030620.nxml.gz_145	28420 28429	promoters	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_659	PMC5030620.nxml.gz_145	28447 28452	genes	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_660	PMC5030620.nxml.gz_170	34170 34176	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_661	PMC5030620.nxml.gz_171	35009 35013	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_662	PMC5030620.nxml.gz_207	41036 41042	miRNAs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_663	PMC5030620.nxml.gz_208	41736 41740	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_664	PMC5030620.nxml.gz_230	46261 46268	genesis	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_665	PMC5030620.nxml.gz_233	46603 46615	miRNAsPandey	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_666	PMC5030620.nxml.gz_237	47189 47202	miRNAsIgnacio	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_667	PMC5030620.nxml.gz_249	48631 48649	miRNAsHalappanavar	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_668	PMC5030620.nxml.gz_277	53179 53185	genome	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_669	PMC5030620.nxml.gz_318	59454 59461	genetic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_670	PMC5030620.nxml.gz_319	59517 59524	genetic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_671	PMC5030620.nxml.gz_321	59915 59919	SNPs	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_672	PMC5030620.nxml.gz_322	60074 60078	gene	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_673	PMC5030620.nxml.gz_322	60146 60151;60152 60159;60160 60165	miRNA binding sites	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_674	PMC5030620.nxml.gz_324	60433 60440	genetic	SO_biobert_model_local_PMC5030620.nxml.gz
SO_2021_10_26_Instance_675	PMC5030620.nxml.gz_340	62455 62459	gene	SO_biobert_model_local_PMC5030620.nxml.gz
