CL_EXT_2021_10_26_Instance_2	PMC1474522.nxml.gz_1	129 138	Müllerian	CL_EXT_biobert_model_local_PMC1474522.nxml.gz
CL_EXT_2021_10_26_Instance_205	PMC3342123.nxml.gz_145	30213 30221	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_206	PMC3342123.nxml.gz_147	30541 30546	cells	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_207	PMC3342123.nxml.gz_149	30787 30791	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_208	PMC3342123.nxml.gz_152	31176 31184	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_209	PMC3342123.nxml.gz_155	31654 31658	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_210	PMC3342123.nxml.gz_157	31995 31999	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_211	PMC3342123.nxml.gz_157	32020 32024	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_212	PMC3342123.nxml.gz_166	33832 33837	cells	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_213	PMC3342123.nxml.gz_167	33866 33874	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_214	PMC3342123.nxml.gz_171	34630 34638	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_215	PMC3342123.nxml.gz_186	37106 37110	cell	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_216	PMC3342123.nxml.gz_186	37121 37129	cellular	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_217	PMC3342123.nxml.gz_259	48548 48551	SMC	CL_EXT_biobert_model_local_PMC3342123.nxml.gz
CL_EXT_2021_10_26_Instance_219	PMC3348565.nxml.gz_18	3071 3080	monocytes	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_220	PMC3348565.nxml.gz_18	3085 3096	macrophages	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_221	PMC3348565.nxml.gz_18	3213 3218	cells	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_222	PMC3348565.nxml.gz_19	3343 3356	intracellular	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_223	PMC3348565.nxml.gz_20	3467 3480	intracellular	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_224	PMC3348565.nxml.gz_20	3560 3573	intracellular	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_225	PMC3348565.nxml.gz_133	27313 27324	macrophages	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_226	PMC3348565.nxml.gz_133	27329 27338	monocytes	CL_EXT_biobert_model_local_PMC3348565.nxml.gz
CL_EXT_2021_10_26_Instance_229	PMC3400371.nxml.gz_13	1704 1707;1708 1712	red cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_230	PMC3400371.nxml.gz_44	6801 6804;6805 6809	red cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_231	PMC3400371.nxml.gz_61	9628 9633	cells	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_232	PMC3400371.nxml.gz_133	22400 22405;22406 22410	blood cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_233	PMC3400371.nxml.gz_133	22458 22462	cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_234	PMC3400371.nxml.gz_133	22476 22480	cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_235	PMC3400371.nxml.gz_133	22503 22507	cell	CL_EXT_biobert_model_local_PMC3400371.nxml.gz
CL_EXT_2021_10_26_Instance_237	PMC3424155.nxml.gz_19	2898 2906	cellular	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_238	PMC3424155.nxml.gz_59	8960 8965	cells	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_239	PMC3424155.nxml.gz_60	9215 9224	podocytes	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_240	PMC3424155.nxml.gz_158	25067 25069	SC	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_241	PMC3424155.nxml.gz_167	26476 26486	glomerular	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_242	PMC3424155.nxml.gz_183	29160 29164	cell	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_243	PMC3424155.nxml.gz_186	29629 29637	podocyte	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_244	PMC3424155.nxml.gz_199	31458 31466	podocyte	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_245	PMC3424155.nxml.gz_199	31623 31627	cell	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_246	PMC3424155.nxml.gz_200	31733 31741	podocyte	CL_EXT_biobert_model_local_PMC3424155.nxml.gz
CL_EXT_2021_10_26_Instance_249	PMC3470091.nxml.gz_19	3232 3242;3243 3252	pancreatic betacells	CL_EXT_biobert_model_local_PMC3470091.nxml.gz
CL_EXT_2021_10_26_Instance_250	PMC3470091.nxml.gz_19	3396 3405	betacells	CL_EXT_biobert_model_local_PMC3470091.nxml.gz
CL_EXT_2021_10_26_Instance_251	PMC3470091.nxml.gz_76	14776 14789	intracellular	CL_EXT_biobert_model_local_PMC3470091.nxml.gz
CL_EXT_2021_10_26_Instance_252	PMC3470091.nxml.gz_76	14847 14858;14859 14864	parathyroid cells	CL_EXT_biobert_model_local_PMC3470091.nxml.gz
CL_EXT_2021_10_26_Instance_253	PMC3470091.nxml.gz_77	14980 14991;14992 14997	parathyroid cells	CL_EXT_biobert_model_local_PMC3470091.nxml.gz
CL_EXT_2021_10_26_Instance_256	PMC3659910.nxml.gz_15	1903 1907	cell	CL_EXT_biobert_model_local_PMC3659910.nxml.gz
CL_EXT_2021_10_26_Instance_257	PMC3659910.nxml.gz_36	4411 4416	cells	CL_EXT_biobert_model_local_PMC3659910.nxml.gz
CL_EXT_2021_10_26_Instance_258	PMC3659910.nxml.gz_54	7106 7116	osteoclast	CL_EXT_biobert_model_local_PMC3659910.nxml.gz
CL_EXT_2021_10_26_Instance_259	PMC3659910.nxml.gz_111	16291 16301;16302 16303;16303 16304;16304 16309	pancreatic β - cells	CL_EXT_biobert_model_local_PMC3659910.nxml.gz
CL_EXT_2021_10_26_Instance_263	PMC3789799.nxml.gz_57	9017 9030	extracellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_264	PMC3789799.nxml.gz_69	10334 10347	extracellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_265	PMC3789799.nxml.gz_94	13854 13867	extracellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_266	PMC3789799.nxml.gz_95	14027 14037	osteoblast	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_267	PMC3789799.nxml.gz_97	14264 14272	cellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_268	PMC3789799.nxml.gz_102	14616 14629	extracellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_269	PMC3789799.nxml.gz_113	15823 15836	intracellular	CL_EXT_biobert_model_local_PMC3789799.nxml.gz
CL_EXT_2021_10_26_Instance_273	PMC3914197.nxml.gz_19	2362 2365;2366 2371;2372 2377	red blood cells	CL_EXT_biobert_model_local_PMC3914197.nxml.gz
CL_EXT_2021_10_26_Instance_274	PMC3914197.nxml.gz_20	2497 2502;2503 2508;2509 2513	white blood cell	CL_EXT_biobert_model_local_PMC3914197.nxml.gz
CL_EXT_2021_10_26_Instance_275	PMC3914197.nxml.gz_20	2536 2544	platelet	CL_EXT_biobert_model_local_PMC3914197.nxml.gz
CL_EXT_2021_10_26_Instance_276	PMC3914197.nxml.gz_46	5743 5751	platelet	CL_EXT_biobert_model_local_PMC3914197.nxml.gz
CL_EXT_2021_10_26_Instance_278	PMC3915248.nxml.gz_40	10284 10293;10294 10295;10296 10301	activated T cells	CL_EXT_biobert_model_local_PMC3915248.nxml.gz
CL_EXT_2021_10_26_Instance_279	PMC3915248.nxml.gz_40	10413 10422;10423 10424;10425 10430	activated T cells	CL_EXT_biobert_model_local_PMC3915248.nxml.gz
CL_EXT_2021_10_26_Instance_280	PMC3915248.nxml.gz_47	11619 11624	sperm	CL_EXT_biobert_model_local_PMC3915248.nxml.gz
CL_EXT_2021_10_26_Instance_281	PMC3915248.nxml.gz_50	12608 12613	cells	CL_EXT_biobert_model_local_PMC3915248.nxml.gz
CL_EXT_2021_10_26_Instance_282	PMC3915248.nxml.gz_51	12652 12656	cell	CL_EXT_biobert_model_local_PMC3915248.nxml.gz
CL_EXT_2021_10_26_Instance_285	PMC4037583.nxml.gz_4	847 862;863 867	cytotrophoblast cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_286	PMC4037583.nxml.gz_16	2314 2318	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_287	PMC4037583.nxml.gz_17	2493 2498	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_288	PMC4037583.nxml.gz_28	4358 4363	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_289	PMC4037583.nxml.gz_51	6612 6616	Cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_290	PMC4037583.nxml.gz_51	6640 6644	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_291	PMC4037583.nxml.gz_52	6728 6733	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_292	PMC4037583.nxml.gz_52	6884 6889	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_293	PMC4037583.nxml.gz_53	7117 7121	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_294	PMC4037583.nxml.gz_57	7568 7572	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_295	PMC4037583.nxml.gz_64	8493 8498	Cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_296	PMC4037583.nxml.gz_68	9024 9029	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_297	PMC4037583.nxml.gz_115	15301 15309	Cellular	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_298	PMC4037583.nxml.gz_116	15527 15546;15547 15552	syncytiotrophoblast cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_299	PMC4037583.nxml.gz_116	15634 15649;15650 15655	cytotrophoblast cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_300	PMC4037583.nxml.gz_120	15898 15903	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_301	PMC4037583.nxml.gz_121	16079 16084	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_302	PMC4037583.nxml.gz_122	16169 16174	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_303	PMC4037583.nxml.gz_123	16337 16342	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_304	PMC4037583.nxml.gz_123	16364 16369	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_305	PMC4037583.nxml.gz_124	16405 16410	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_306	PMC4037583.nxml.gz_125	16661 16666	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_307	PMC4037583.nxml.gz_126	16703 16707	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_308	PMC4037583.nxml.gz_127	16920 16924	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_309	PMC4037583.nxml.gz_128	17032 17037	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_310	PMC4037583.nxml.gz_159	21779 21784	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_311	PMC4037583.nxml.gz_178	24598 24602	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_312	PMC4037583.nxml.gz_179	24656 24660	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_313	PMC4037583.nxml.gz_180	24912 24917	cells	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_314	PMC4037583.nxml.gz_181	24987 24991	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_315	PMC4037583.nxml.gz_183	25204 25208	cell	CL_EXT_biobert_model_local_PMC4037583.nxml.gz
CL_EXT_2021_10_26_Instance_318	PMC4231606.nxml.gz_2	431 434	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_319	PMC4231606.nxml.gz_27	3391 3394	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_320	PMC4231606.nxml.gz_30	3807 3818	ameloblasts	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_321	PMC4231606.nxml.gz_30	3823 3835	odontoblasts	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_322	PMC4231606.nxml.gz_30	3847 3852	cells	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_323	PMC4231606.nxml.gz_104	16723 16727	cell	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_324	PMC4231606.nxml.gz_108	17615 17618	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_325	PMC4231606.nxml.gz_109	17805 17808	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_326	PMC4231606.nxml.gz_115	19248 19251	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_327	PMC4231606.nxml.gz_136	22363 22366	ECC	CL_EXT_biobert_model_local_PMC4231606.nxml.gz
CL_EXT_2021_10_26_Instance_329	PMC4275682.nxml.gz_137	25887 25898	spermatozoa	CL_EXT_biobert_model_local_PMC4275682.nxml.gz
CL_EXT_2021_10_26_Instance_330	PMC4275682.nxml.gz_137	26049 26053	cell	CL_EXT_biobert_model_local_PMC4275682.nxml.gz
CL_EXT_2021_10_26_Instance_333	PMC4311629.nxml.gz_1	296 301;302 312	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_334	PMC4311629.nxml.gz_1	335 340	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_335	PMC4311629.nxml.gz_3	488 498	fibroblast	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_336	PMC4311629.nxml.gz_12	1742 1747	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_337	PMC4311629.nxml.gz_29	4527 4532;4533 4543	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_338	PMC4311629.nxml.gz_29	4602 4607;4608 4618	white adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_339	PMC4311629.nxml.gz_29	4668 4681	intracellular	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_340	PMC4311629.nxml.gz_32	5101 5106;5107 5117	White adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_341	PMC4311629.nxml.gz_34	5384 5394	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_342	PMC4311629.nxml.gz_34	5417 5422	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_343	PMC4311629.nxml.gz_35	5484 5489	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_344	PMC4311629.nxml.gz_35	5602 5607;5608 5618	white adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_345	PMC4311629.nxml.gz_36	5636 5641;5642 5652	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_346	PMC4311629.nxml.gz_53	8687 8689	β3	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_347	PMC4311629.nxml.gz_57	9304 9309;9310 9320	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_348	PMC4311629.nxml.gz_62	10210 10215	brown	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_349	PMC4311629.nxml.gz_62	10226 10236	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_350	PMC4311629.nxml.gz_63	10432 10437;10448 10458	brown ... adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_351	PMC4311629.nxml.gz_64	10698 10703;10704 10714	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_352	PMC4311629.nxml.gz_65	10913 10918;10919 10929	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_353	PMC4311629.nxml.gz_66	11199 11209	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_354	PMC4311629.nxml.gz_66	11447 11452	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_355	PMC4311629.nxml.gz_67	11490 11495;11496 11506	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_356	PMC4311629.nxml.gz_67	11589 11594	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_357	PMC4311629.nxml.gz_67	11609 11617;11618 11626	skeletal myocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_358	PMC4311629.nxml.gz_68	11671 11681	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_359	PMC4311629.nxml.gz_68	11750 11755	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_360	PMC4311629.nxml.gz_68	11773 11783	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_361	PMC4311629.nxml.gz_69	11842 11852	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_362	PMC4311629.nxml.gz_69	11918 11923	white	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_363	PMC4311629.nxml.gz_69	11935 11940;11941 11951	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_364	PMC4311629.nxml.gz_70	12088 12093;12094 12104	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_365	PMC4311629.nxml.gz_70	12170 12175	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_366	PMC4311629.nxml.gz_71	12344 12349;12350 12360	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_367	PMC4311629.nxml.gz_75	13177 13187	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_368	PMC4311629.nxml.gz_75	13213 13223	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_369	PMC4311629.nxml.gz_76	13254 13259	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_370	PMC4311629.nxml.gz_76	13318 13328	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_371	PMC4311629.nxml.gz_76	13436 13440	cell	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_372	PMC4311629.nxml.gz_76	13510 13515;13516 13526	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_373	PMC4311629.nxml.gz_79	14080 14085;14086 14096	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_374	PMC4311629.nxml.gz_80	14180 14190	fibroblast	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_375	PMC4311629.nxml.gz_82	14440 14450	Fibroblast	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_376	PMC4311629.nxml.gz_82	14487 14497	fibroblast	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_377	PMC4311629.nxml.gz_96	17191 17192;17193 17198	T cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_378	PMC4311629.nxml.gz_99	17632 17644	subcutaneous	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_379	PMC4311629.nxml.gz_99	17645 17655	adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_380	PMC4311629.nxml.gz_110	19800 19805	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_381	PMC4311629.nxml.gz_113	20132 20137;20138 20148	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_382	PMC4311629.nxml.gz_115	20467 20472;20473 20483	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_383	PMC4311629.nxml.gz_115	20494 20502;20503 20511	skeletal myocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_384	PMC4311629.nxml.gz_128	22743 22748;22749 22759	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_385	PMC4311629.nxml.gz_129	22863 22868;22869 22879	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_386	PMC4311629.nxml.gz_135	23900 23911;23912 23916;23917 23922	mesenchymal stem cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_387	PMC4311629.nxml.gz_135	23928 23933;23934 23944	white adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_388	PMC4311629.nxml.gz_136	24088 24095;24096 24100;24101 24106	adipose stem cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_389	PMC4311629.nxml.gz_136	24152 24161	adipocyte	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_390	PMC4311629.nxml.gz_137	24415 24420	cells	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_391	PMC4311629.nxml.gz_154	27588 27590	TL	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_392	PMC4311629.nxml.gz_154	27592 27593;27594 27605	T lymphocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_393	PMC4311629.nxml.gz_161	28299 28306	Rodents	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_394	PMC4311629.nxml.gz_186	33599 33604;33605 33615	brown adipocytes	CL_EXT_biobert_model_local_PMC4311629.nxml.gz
CL_EXT_2021_10_26_Instance_397	PMC4352710.nxml.gz_9	1164 1177	spermatocytes	CL_EXT_biobert_model_local_PMC4352710.nxml.gz
CL_EXT_2021_10_26_Instance_398	PMC4352710.nxml.gz_10	1215 1220	sperm	CL_EXT_biobert_model_local_PMC4352710.nxml.gz
CL_EXT_2021_10_26_Instance_399	PMC4352710.nxml.gz_21	2995 3007	spermatocyte	CL_EXT_biobert_model_local_PMC4352710.nxml.gz
CL_EXT_2021_10_26_Instance_400	PMC4352710.nxml.gz_22	3140 3145	sperm	CL_EXT_biobert_model_local_PMC4352710.nxml.gz
CL_EXT_2021_10_26_Instance_405	PMC4488777.nxml.gz_11	1688 1693	sperm	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_406	PMC4488777.nxml.gz_11	1861 1872	spermatozoa	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_407	PMC4488777.nxml.gz_22	3351 3362;3363 3368	endometrial cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_408	PMC4488777.nxml.gz_23	3532 3543	spermatozoa	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_409	PMC4488777.nxml.gz_39	6110 6117;6118 6127;6128 6133	ovarian granulosa cells	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_410	PMC4488777.nxml.gz_40	6542 6553	spermatozoa	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
CL_EXT_2021_10_26_Instance_411	PMC4488777.nxml.gz_41	6613 6626	intracellular	CL_EXT_biobert_model_local_PMC4488777.nxml.gz
