	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
177	PMC7547020	212	['After the full generation has been evaluated, a top fraction is carried over to the next generation.']	(32617, 32717)
178	PMC7547020	213	['The following generation is created by randomly selecting model features found in the individuals that comprise the top fraction of the the previous generationâ\x80\x94akin to â\x80\x9coffspringâ\x80\x9d from a â\x80\x9cmotherâ\x80\x9d and â\x80\x9cfatherâ\x80\x9d set.']	(32718, 32945)
179	PMC7547020	215	['A visual schematic for this process can be seen in Fig.Â\xa02a.']	(33142, 33202)
180	PMC7547020	216	['The search space of the genetic algorithm included 19,051,200 possible solutions (12 pre-trained networks  learning rates  batch sizes  training epochs  optimizers  activation functions  dropout rates  regularization methods  training datasets  test datasets).']	(33204, 33464)
181	PMC7547020	218	['The AUC â\x80\x9cfitnessâ\x80\x9d value is determined for each network by evaluating on the test mentioned above ().']	(33758, 33862)
182	PMC7547020	220	['Image augmentation and synthetic data expansion by TANDA\n\nStandard image augmentation was performed using the Augmentor python library.']	(34043, 34178)
183	PMC7547020	221	['Training data was augmented using a pipeline implementing a random distortion (, , , ), followed by a random  rotation (), then a random zoom (, ), and finally a random left-right flip ().']	(34179, 34367)
184	PMC7547020	222	['CT and MRI data were each sampled using this pipeline for either 100 or 1000 iterations.']	(34368, 34456)
185	PMC7547020	223	['Test images were sampled using this pipeline, with all probabilities being set to 1.0.']	(34457, 34543)
186	PMC7547020	224	['Test images were sampled using this pipeline either 10 or 100 times.']	(34544, 34612)
187	PMC7547020	225	['Unsupervised GAN-based image generation was performed via minor adaptation to the TANDA python library8 initialized with the following parameters: LSTM-class generator; generator learning rate of ; discriminator learning rate of ; gamma equal to 0.5; one mean-squared-error (MSE) layer; MSE-term coefficient of ; transformation sequence length of 10; no per-image standardization; trained using a batch size of 5 and for a duration of 5 epochs.']	(34614, 35058)
188	PMC7547020	227	['1000 ACP and 1000 NOTACP synthetic images were generated for both CT and MRI modalities.']	(35186, 35274)
189	PMC7547020	228	['Computational hardware and software\n\nAll computational programs were performed on a 64-bit RedHat Enterprise Linux HPC running CentOS 7.4.1708.']	(35276, 35419)
190	PMC7547020	229	['Python based programs were executed in a virtual environment containing Python 3.6 with the following modules: Augmentor (v 0.2.2), Matplotlib (v 2.2.2), Numpy (v 1.14.15), Pandas (v 0.23.3), Ray (v 0.6.4), Sci-kit Image (v 0.14.0), TensorFlow (v 1.12.0), and TensorFlow Hub (v 0.2.0).']	(35420, 35705)
191	PMC7547020	230	"[""Publisher's note\n\nSpringer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.""]"	(35707, 35843)
192	PMC7547020	231	['Author contributions\n\nProject Conception: EP, TCH; Project Design: EP, TCH; Software Generation: EP; Data Acquisition: RW, NS, DM, SS, PK, RCEA, TNN, GG, MS, JMJ, EMJ, DDL, AS, AMD, JC, LK, KG, RN, RD, ETK, GJ, MHH; Data Analysis: EP, KJ; Data Interpretation: EP, KJ, AMD, NF, TCH; Manuscript Composition: EP, RW, TCH; Manuscript Revisions: KJ, AMD, NF, TCH;\n\nData availability\n\nThe dataset analyzed during the current study is available from the corresponding author on reasonable request.']	(35845, 36335)
193	PMC7547020	232	['Competing interests\n\nThe authors declare no competing interests.']	(36337, 36401)
194	PMC7074265	8	['1.']	(1479, 1481)
195	PMC7074265	9	['Introduction\n\nPediatric Adamantinomatous Craniopharyngiomas (ACPs) are histologically benign brain tumors that often follow an aggressive clinical course.']	(1482, 1636)
196	PMC7074265	13	['The classic features consist of palisading epithelium, stellate cells, nodules of anuclear â\x80\x9cghost cellsâ\x80\x9d and â\x80\x9cwet keratinâ\x80\x9d as well as large areas of regressive changes (i.e., inflammation and calcifications, multinucleated giant cells, hemosiderin deposits, cholesterol clefts) (Figure 2).']	(1960, 2257)
197	PMC7074265	16	['In an era of personalized medicine and targeted therapies, ACP remains resistant to such advances.']	(2637, 2735)
198	PMC7074265	19	['1.1.']	(3200, 3204)
199	PMC7074265	21	['Most commonly this involves a point mutation in exon 3 of the CTNNB1 gene.']	(3455, 3529)
200	PMC7074265	23	['Ordinarily, and in the absence of WNT activation, beta-catenin is marked for destruction by a destruction complex consisting of AXIN, glycogen synthase kinase-3Î² (GSK3Î²), and APC, among other proteins.']	(3682, 3885)
201	PMC7074265	25	['In the presence of WNT activation, WNT ligands bind to Frizzled and its co-receptor LRP (Low-density lipoprotein receptor-related protein) at the cell membrane.']	(4016, 4176)
202	PMC7074265	26	['This in turn leads to the activation of Disheveled (DVL) and the binding of AXIN at the cell membrane.']	(4177, 4279)
203	PMC7074265	27	['Consequently, the normal destruction complex is broken up and beta-catenin is released.']	(4280, 4367)
204	PMC7074265	28	['Eventually this stabilized beta-catenin will accumulate in first the cytoplasm, and subsequently the nucleus resulting in the expression of WNT pathway target genes.']	(4368, 4533)
205	PMC7074265	29	['In the pathological state present in ACP, the various point mutations prevent the binding of GSK3Î² to beta-catenin, and the subsequent phosphorylation of the serine and threonine residues.']	(4534, 4723)
206	PMC7074265	30	['This results in a degradation-resistant form of beta-catenin, resulting in aberrant nuclear accumulation of the protein in certain cells within the tumor.']	(4724, 4878)
207	PMC7074265	31	['In the nucleus, beta-catenin acts as a transcription factor, leading to overactivation of the WNT/beta-catenin pathway.']	(4879, 4998)
208	PMC7074265	36	['hypothalamus and pituitary) in ACP.']	(5878, 5913)
209	PMC7074265	39	['HÃ¶lsken et al.']	(6324, 6339)
210	PMC7074265	41	['In addition, Apps et al.']	(6555, 6579)
211	PMC7074265	42	['used micro-CT to produce 3-D models of ACP tumor samples.']	(6580, 6637)
212	PMC7074265	44	['In a separate paper, the same group used laser capture microdissection to separate out these cell clusters and analyze their transcriptomic profiles.']	(6742, 6891)
213	PMC7074265	47	['HÃ¶lsken et al.']	(7258, 7273)
214	PMC7074265	48	['cultured a total of 6 ACP samples and measured their invasion capacity via two methods, namely Boyden chamber assays, and wound-healing assays.']	(7274, 7417)
215	PMC7074265	49	['They then suppressed beta-catenin expression in the samples by introducing small interfering RNA (siRNA) directed against the CTNNB1 gene and repeated the assays.']	(7418, 7580)
216	PMC7074265	54	['HÃ¶lsken et al.']	(8239, 8254)
217	PMC7074265	75	['1.2.']	(11292, 11296)
218	PMC7074265	88	['In this study, they used reverse phase liquid chromatography in conjunction with high resolution ESI-I TQ-Orbitrap mass spectrometry to analyze ACP cyst fluid from nineteen children.']	(13366, 13548)
219	PMC7074265	90	['Specifically, these included alpha2-HS-glycoprotein, alpha1-antichymotrypsin and apolipoproteins.']	(13755, 13852)
220	PMC7074265	92	['used cytometric bead analysis to measure the concentration of 24 cytokines and 11 chemokines in cyst fluid from five pediatric ACPs and five pediatric pilocytic astrocytomas (PAs).']	(13886, 14066)
221	PMC7074265	94	['These cytokines included IL-6, IL-10, CXCL8 (IL-8), and CXCL1 (GRO).']	(14193, 14261)
222	PMC7074265	96	['Apps et al.']	(14346, 14357)
223	PMC7074265	98	['They analyzed the content of cyst fluid from 6 patients with ACP using multiplex ELISA (Enzyme-linked immunsorbent assay).']	(14447, 14569)
224	PMC7074265	105	['The treatment involves the surgical placement of a catheter within the cyst with the position of the catheter confirmed radiologically prior to the administration of the drug.']	(15460, 15635)
225	PMC7074265	110	['1.3.']	(16254, 16258)
226	PMC7074265	112	['Gump et al.']	(16568, 16579)
227	PMC7074265	113	['used micro-array data to demonstrate elevated levels of IL-6R in ACP relative to other pediatric brain tumors.']	(16580, 16690)
228	PMC7074265	114	['Subsequently, Donson et al., utilized detailed transcriptomic analysis to demonstrate increased expression of pro-inflammatory mediators in ACP solid tumor tissue including IL-6, CXCL1, CLCL8, CXCR2, IL-10 and IDO-1.']	(16691, 16907)
229	PMC7074265	115	['Separate work by Martelli et al.']	(16908, 16940)
230	PMC7074265	116	['used advanced proteomics to investigate the protein signature in ACP.']	(16941, 17010)
231	PMC7074265	121	['used transcriptome analysis of tumor tissue from 18 patients to identify a pattern of elevated expression of several immune cell markers and immune system genes in ACP.']	(17532, 17700)
232	PMC7074265	122	['Furthermore, their analysis used immunohistochemistry to reveal the presence of both myeloid-derived and lymphoid-derived cells infiltrating both the reactive glial and tumor epithelial compartments in the ACP samples.']	(17701, 17919)
233	PMC7074265	126	['1.4.']	(18513, 18517)
234	PMC7074265	128	['Specifically, inhibition of the programmed cell death protein (PD1) and its ligand (PD-L1) with the agents, nivolumab and pembrolizumab, has resulted in improved survival in cancers including melanoma and non-small cell lung adenocarcinoma.']	(18668, 18908)
235	PMC7074265	131	['In cancers, PD-1-expressing tumor-infiltrating T cells can be disabled by PD-L1 expressed on the surfaces of tumor cells themselves or alternatively by PD-L1 on the surface of other infiltrating immune cells.']	(19220, 19428)
236	PMC7074265	132	['The binding of PD-1 to its ligand results in the suppression of the immune response to the cancer cells.']	(19429, 19533)
237	PMC7074265	133	['Checkpoint Inhibitors reverse this process and allow T cells to once again attack the cancer.']	(19534, 19627)
238	PMC7074265	147	['Another study by Witt et al.']	(22065, 22093)
239	PMC7074265	151	['In addition, Witt et al.']	(22552, 22576)
240	PMC7074265	153	['In their study they utilized functional T cell exhaustion assays that stimulate T cells via exposure to Phorbol 12-myristate 13-acetate (PMA)/ionomycin.']	(22860, 23012)
241	PMC7074265	154	['Subsequent to stimulations their group used a Milliplex Map Kit (Millipore) to measure the concentration of several cytokines including IFN-gamma.']	(23013, 23159)
242	PMC7074265	161	['1.5.']	(24156, 24160)
243	PMC7074265	164	['in 2010.']	(24498, 24506)
244	PMC7074265	165	['In their study they randomized 676 patients with stage 3 or 4 treatment-resistant melanoma to treatment with ipilimumab plus glycoprotein 100 (gp100) or gp100 alone.']	(24507, 24672)
245	PMC7074265	167	['Subsequent work by Ji et al.']	(24804, 24832)
246	PMC7074265	170	['Specifically, they analyzed the gene expression in tumor samples from 45 patients with melanoma both before, and three weeks after treatment with ipilimumab.']	(25192, 25349)
247	PMC7074265	175	['A 2017 study by Donson et al.']	(26182, 26211)
248	PMC7074265	176	['utilized various methods to demonstrate upregulation of several pro-inflammatory genes in both the solid and cystic component of these tumors.']	(26212, 26354)
249	PMC7074265	183	['1.6.']	(27304, 27308)
250	PMC7074265	185	['This prevents propagation of the damaged cell and, when this occurs in the context of cancer, can ultimately result in tumor suppression.']	(27587, 27724)
251	PMC7074265	187	['Senescent cells can persist in a metabolically active state, ultimately developing what is termed the Senescence Associated Secretory Phenotype (SASP).']	(27894, 28045)
252	PMC7074265	189	['SASP factors include pro-inflammatory mediators such as IL-6, IL-1, certain Matrix Metalloproteinases, and various chemokines.']	(28230, 28356)
253	PMC7074265	190	['Of these, Rodier et al.']	(28357, 28380)
254	PMC7074265	192	['Gonzalez-Meljem et al.']	(28474, 28496)
255	PMC7074265	194	['They used gene set enrichment analysis (GSEA) to demonstrate that beta-catenin accumulating cluster cells in the mouse models of ACP had gene expression profiles that were significantly enriched for SASP genes.']	(28613, 28823)
256	PMC7074265	197	['Meljem et al.']	(29202, 29215)
257	PMC7074265	198	['then used laser-capture microdissection and RNA sequencing to analyze the molecular signature of the beta-catenin accumulating cell clusters in human ACP.']	(29216, 29370)
258	PMC7074265	206	['2.']	(30460, 30462)
259	PMC7074265	215	['In fact, Apps et al.']	(31801, 31821)
260	PMC7074265	225	['Author Contributions\n\nR.W.']	(33314, 33340)
261	PMC7074265	226	['as the first author was primarily responsible for drafting the article manuscript.']	(33341, 33423)
262	PMC7074265	227	['E.P.']	(33424, 33428)
263	PMC7074265	228	['also helped draft the manuscript and helped with editing the final submission.']	(33429, 33507)
264	PMC7074265	229	['A.G. provided the pathology figures and the descriptions of the same.']	(33508, 33577)
265	PMC7074265	230	['T.H.']	(33578, 33582)
266	PMC7074265	231	['acted as the lead author and guided the direction of the manuscript as well as being the primary editor of the final submission.']	(33583, 33711)
267	PMC7074265	232	['All authors have read and agreed to the published version of the manuscript.']	(33712, 33788)
268	PMC7074265	233	['Funding\n\nNo external funding was received for the production of this research.']	(33790, 33868)
269	PMC7074265	234	['Conflicts of Interest\n\nThe authors declare no conflict of interest.']	(33870, 33937)
270	PMC7074265	235	['Caption (Fig): FIG 1\n\nClassic histopathological findings in adamantinomatous craniopharyngioma: (A) H&E stained sections showing an epithelial tumor with palisading cells with aggregates of â\x80\x98wetâ\x80\x99 keratin; (B) higher magnification view demonstrating keratinized â\x80\x98ghost cellsâ\x80\x99; (C) Higher magnification view demonstrating calcifications and stellate reticulum; (D) Immunohistochemical staining for Beta-catenin that is nuclear positive in a subset of tumor cells.']	(33939, 34408)
271	PMC7074265	236	['(E) The surrounding brain parenchyma shows extensive gliosis with Rosenthal fibers.']	(34409, 34492)
272	PMC7074265	237	['Caption (Fig): FIG 2\n\nComputed Tomography (Left) andMagnetic resonance Imaging (Right) images from the same patient of a classic example of an adamantinomatous craniopharyngioma.']	(34494, 34672)
273	PMC7074265	238	['This typical tumor is centered in the suprasellar region with mixed solid and cystic areas as well as areas of calcification as seen on the CT.\n\nCaption (Fig): FIG 3\n\nExample of an adamantinomatous craniopharyngioma with a massive cystic component.']	(34673, 34921)
274	PMC7074265	240	['Study\tSummary of Study\tFindings\t \tKilday et al.']	(35098, 35145)
275	PMC7074265	241	['2017 \tMultinational study assessing the efficacy of intra-cystic IFN-alpha in treating ACP\tDemonstrated a progression free survival advantage for intracystic IFN-alpha\t \tPettorini et al.']	(35146, 35332)
276	PMC7074265	243	['2015 \tUsed mRNA microarray analysis to identify the overexpression of multiple inflammatory markers in ACP relative to other tumors\tIdentifies IL6R and IL2RB to be overexpressed in ACP relative to normal brain and other tumors\t \tDonson et al.']	(35489, 35731)
277	PMC7074265	245	['2018 \tUsed various methods including RNA sequencing to identify activation of the inflammasome in ACP cyst fluid and solid tumor\tImflamatory genes that were overexpressed included IL-1B, IL-18, IL-6, IL-8, IL-10\t \tCoy et al.']	(35935, 36159)
278	PMC6712354	6	['Two patients with recurrent cystic ACP were offered systemically administered tocilizumab or a combination of tocilizumab and bevacizumab on a compassionate use basis.']	(1192, 1359)
279	PMC6712354	9	['It comprises 6â\x80\x938% of pediatric brain tumors and is the most common tumor of the sellar/suprasellar region in children.']	(1723, 1843)
280	PMC6712354	22	['Tocilizumab, a humanized monoclonal antibody against soluble and membrane bound IL-6R, is approved by the U.S. Food and Drug Administration for systemic administration in pediatric patients age >2 years.']	(3875, 4078)
281	PMC6712354	23	['Indications include the treatment of systemic juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, and cytokine release syndrome following chimeric cntigen ceceptor (CAR) T-cell therapy for acute lymphoblastic leukemia.']	(4079, 4321)
282	PMC6712354	24	['There is substantial experience with this well-tolerated medication in the pediatric oncology community.']	(4322, 4426)
283	PMC6712354	27	"[""Primary patient samples were obtained from Children's Hospital Colorado and collected in accordance with local and Federal human research protection guidelines and institutional review board regulations.""]"	(4780, 4983)
284	PMC6712354	28	['The protocol was approved by the Colorado Multiple Institutional Review Board (COMIRB 95â\x80\x93500).']	(4984, 5080)
285	PMC6712354	29	['Written informed consent was obtained for all specimens and clinical information collected.']	(5081, 5172)
286	PMC6712354	30	['Case 1 Presentation\n\nA 3-year-old male presented to the Emergency Department after hitting his head during a fall from a crib.']	(5174, 5300)
287	PMC6712354	31	['CT scan revealed a suprasellar mass with extensive cysts extending throughout the right middle and bilateral posterior cranial fossae, as well as to the atrium of the right lateral ventricle.']	(5301, 5492)
288	PMC6712354	33	['MRI-based manual segmentation software Aquarius (iNtuition, TeraRecon, Forest City, CA) was used to measure tumor volumes showing primary cystic disease with minimal solid tumor component (Figure 1, graph).']	(5601, 5807)
289	PMC6712354	34	"[""The patient's medical history included premature birth at 34 weeks.""]"	(5808, 5875)
290	PMC6712354	35	['He demonstrated normal growth and development until 13 months of age when he experienced speech and motor regression.']	(5876, 5993)
291	PMC6712354	36	['He regained some motor skills prior to his presentation but continued to experience mild to moderate speech delay.']	(5994, 6108)
292	PMC6712354	37	['Caption (Fig): FIG 1\n\nCyst volume (cm3) in response to treatment course for patient 1.']	(6110, 6196)
293	PMC6712354	38	['(A) Diagnostic MRis.']	(6197, 6217)
294	PMC6712354	39	['(B) Early response to interferon.']	(6218, 6251)
295	PMC6712354	40	['(C) Response at end of bleomycin.']	(6252, 6285)
296	PMC6712354	41	['(D) Best response to tocilizumab alone.']	(6286, 6325)
297	PMC6712354	42	['(E) Best response to tocilizumab and bevacizumab.']	(6326, 6375)
298	PMC6712354	43	['(F) Six months off all therapy.']	(6376, 6407)
299	PMC6712354	44	['(G) Most recent scan.']	(6408, 6429)
300	PMC6712354	45	['(H) Cyst volume (cm3) in response to treatment course.']	(6430, 6484)
301	PMC6712354	46	['A cyst catheter was placed into the dominant right temporal cyst.']	(6486, 6551)
302	PMC6712354	47	['Three days after discharge, he developed significant facial and scalp swelling accompanied by vomiting.']	(6552, 6655)
303	PMC6712354	49	['He was successfully treated with a course of oral dexamethasone.']	(6820, 6884)
304	PMC6712354	50	['Approximately 6 weeks following placement, he was treated with intracystic IFN-Î± according to previously utilized protocols.']	(6886, 7011)
305	PMC6712354	52	['The patient was transitioned to intracystic bleomycin therapy and received 3 units/10 mls three times per week for a total of 14 doses.']	(7148, 7283)
306	PMC6712354	53	['Following 5 weeks of intracystic bleomycin, he presented emergently with new onset left VI and VII cranial nerve palsies.']	(7285, 7406)
307	PMC6712354	54	['MRI demonstrated new edema involving the left pons, middle cerebellar peduncle, and anterior right cerebellar hemisphere, in continuity with one wall of the cyst receiving bleomycin (Figure 1C).']	(7407, 7601)
308	PMC6712354	55	['Bleomycin therapy was discontinued, and the patient was treated with dexamethasone, resulting in full recovery of CN VI and partial recovery of CN VII function, with residual mild facial asymmetry and weakness.']	(7602, 7812)
309	PMC6712354	56	['The patient remained off of therapy with routine MRI scanning to monitor for disease progression.']	(7814, 7911)
310	PMC6712354	61	['He underwent a complete workup for evaluation of his seizures and was found to have normal metabolic labs, no evidence of vascular changes, and no residual edema from his previous bleomycin treatment.']	(8828, 9028)
311	PMC6712354	63	['His seizures were controlled with levetiracetam and he continued treatment with tocilizumab.']	(9204, 9296)
312	PMC6712354	64	['Following 8 months of therapy, MRI showed evidence of progression of the cystic component of his ACP (Figure 1, graph).']	(9297, 9416)
313	PMC6712354	70	['There were three delays in therapy of 2 weeks for the first two delays and 4 weeks for the third delay due to neutropenia (CTCAE v5, Grade 3).']	(10050, 10192)
314	PMC6712354	71	['There were no fevers or signs of systemic illness associated with these episodes.']	(10193, 10274)
315	PMC6712354	73	['Following multiple scans with stable disease, the primary oncologist and family elected for a therapy break with routine tumor surveillance.']	(10417, 10557)
316	PMC6712354	74	['Three months off of therapy, an MRI showed a minimal increase in some cystic components while the remainder of the solid and cystic components remained unchanged.']	(10559, 10721)
317	PMC6712354	75	['Six months off therapy the patient was seen in the Emergency Department with seizure activity.']	(10722, 10816)
318	PMC6712354	76	['At this time, an MRI demonstrated an overall increase in his cystic mass (Figure 1F).']	(10817, 10902)
319	PMC6712354	77	['Bevacizumab and tocilizumab were re-initiated with a significant decrease in cystic disease following 4 months of therapy.']	(10903, 11025)
320	PMC6712354	78	['The patient has remained on combination therapy for 13 months (Figure 1G), to date, and his seizures are controlled with levetiracetam.']	(11026, 11161)
321	PMC6712354	79	['Case 2 Presentation\n\nA 7-year-old male presented with a 1 month-long history of nausea and vomiting.']	(11163, 11263)
322	PMC6712354	80	['A head CT was performed for concern for increased intracranial pressure and demonstrated a large cystic frontal mass that crossed the midline, with perilesional edema.']	(11264, 11431)
323	PMC6712354	81	['His past medical history was significant for a diagnosis of â\x80\x9clazy eyeâ\x80\x9d 1 year previously and short stature (later determined to be due to growth hormone deficiency).']	(11432, 11601)
324	PMC6712354	82	['Family history was unremarkable.']	(11602, 11634)
325	PMC6712354	84	['MRI volume measures as with Case 1 demonstrated primary cystic disease with minimal solid tumor component (Figure 2, graph).']	(11751, 11875)
326	PMC6712354	85	['Initial surgical management included stereotactic cyst catheter placement with concomitant drainage of ~50 mL of â\x80\x9cmachine oilâ\x80\x9d-like cyst fluid.']	(11876, 12023)
327	PMC6712354	86	['His initial post-operative course was uneventful.']	(12024, 12073)
328	PMC6712354	87	['Caption (Fig): FIG 2\n\nCyst volume (cm3) in response to treatment course for patient 2.']	(12075, 12161)
329	PMC6712354	88	['(A) Diagnostic MRis.']	(12162, 12182)
330	PMC6712354	89	['(B) Scan immediately before ommaya reservoir replacement.']	(12183, 12240)
331	PMC6712354	90	['(C) Scan immediately stopping bleomycin for right frontal lobe edema.']	(12241, 12310)
332	PMC6712354	91	['(D) Scan while on Tocilizumab.']	(12311, 12341)
333	PMC6712354	92	['(E) Patient two cyst volume (cm3) in response to treatment course.']	(12342, 12408)
334	PMC6712354	93	['The patient returned to the outpatient clinic for weekly cyst aspiration.']	(12410, 12483)
335	PMC6712354	94	['Three months after catheter placement, MRI demonstrated an increase in cyst size (Figure 2B), and repositioning of the catheter was undertaken.']	(12484, 12627)
336	PMC6712354	97	['At surgery, the cyst wall was densely adherent to the anterior cerebral vessels, and subtotal resection was achieved.']	(12912, 13029)
337	PMC6712354	99	['Following completion of radiation, a cyst catheter was replaced.']	(13161, 13225)
338	PMC6712354	100	['The patient was treated with intracystic bleomycin, which resulted in an initial decrease in cyst size.']	(13226, 13329)
339	PMC6712354	102	['He was treated with dexamethasone and cessation of bleomycin with resolution of his symptoms.']	(13485, 13578)
340	PMC6712354	103	['The patient was offered systemic tocilizumab (12 mg/kg IV q2 weeks) on a compassionate use basis.']	(13580, 13677)
341	PMC6712354	104	['After 6 months of therapy, the cyst exhibited a partial response with measurements improved from 26 Ã\x97 28 Ã\x97 27 mm (AP Ã\x97 TRV Ã\x97 CC) to 18 Ã\x97 24 Ã\x97 18 mm (AP Ã\x97 TRV Ã\x97 CC) (Figure 2D).']	(13678, 13862)
342	PMC6712354	105	['He has had no significant adverse effects, no new neurologic sequela and no hospitalizations.']	(13863, 13956)
343	PMC6712354	106	['Therapy was discontinued after seven months, and he continues on an MRI monitoring plan.']	(13957, 14045)
344	PMC6712354	110	['Case 2 had confirmation of elevated IL-6 in pre-therapy cyst fluid after initiation of therapy.']	(14529, 14624)
345	PMC6712354	114	['Caption (Fig): FIG 3\n\nIL-6 Levels at diagnosis for patient 1, patient 2, a group of ACP Patients, and a group of pilocytic astrocytoma.']	(15167, 15302)
346	PMC6712354	115	['The IL-6 levels (pg/mL) found in the cystic fluid of patient 1 and patient 2 at diagnosis as well as a group of 6 craniopharyngioma patients and a group of 5 patients with pilocytic astrocytoma.']	(15303, 15497)
347	PMC6712354	121	['Bevacizumab, a monoclonal antibody that binds to vascular endothelial growth factor (VEGF) resulting in inhibition of new blood vessel formation.']	(15968, 16113)
348	PMC6712354	127	['Author Contributions\n\nSG did primary case reviews and writing of original draft of manuscript.']	(17162, 17256)
349	PMC6712354	128	['DM provided MRI analysis and figures.']	(17257, 17294)
350	PMC6712354	129	['AD and NF provided laboratory data.']	(17295, 17330)
351	PMC6712354	130	['ND and LH provided patient care and manuscript preparation.']	(17331, 17390)
352	PMC6712354	131	['TH and JM provided primary patient care, conceptualization, manuscript preparation, and project management.']	(17391, 17498)
353	PMC6712354	132	['Conflict of Interest Statement\n\nThe authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.']	(17500, 17704)
354	PMC6712354	133	['Funding.']	(17706, 17714)
355	PMC6712354	134	['The Morgan Adams Foundation (SG, NF, LH, TH, and JM).']	(17715, 17768)
356	PMC6712354	135	['Additional funding to TH by NCI R03 CA235200, GN-000522â\x80\x93The Brain Tumor Charity, NCI R03 CA212800.']	(17769, 17869)
357	PMC5904225	2	['Î²-catenin-accumulating cluster cells and palisading epithelium), surrounded by a florid glial reaction with immune cells.']	(500, 622)
358	PMC5904225	9	['Finally, we analyse a prominent molecular signature in the glial reactive tissue to characterise the inflammatory microenvironment and uncover the activation of inflammasomes in human ACP.']	(1874, 2062)
359	PMC5904225	12	['Electronic supplementary material\n\nThe online version of this article (10.1007/s00401-018-1830-2) contains supplementary material, which is available to authorized users.']	(2483, 2653)
360	PMC5904225	16	['They frequently invade adjacent tissues with infiltrating finger-like structures surrounded by a florid glial and inflammatory reactive tissue.']	(3142, 3285)
361	PMC5904225	21	['AXIN2 and LEF1).']	(3942, 3958)
362	PMC5904225	27	['SHH, FGFs, BMPs, TGFB1; as well as pro-inflammatory mediators such IL1, IL6 and other CXC and CC chemokines).']	(5210, 5319)
363	PMC5904225	37	['We complement this gene expression study with proteome analysis and ELISA of both tumour and cystic fluid from ACP patients.']	(7229, 7353)
364	PMC5904225	40	['Materials and methods\n\nHuman tumour and pituitary samples\n\nAnonymised archival frozen and formalin-fixed paraffin-embedded (FFPE) specimens of ACP and non-functioning pituitary adenoma (NFPA) were identified in the local pathology archive, through the Childhoodâ\x80\x99s Cancer and Leukaemia Group Tissue Bank, Brain UK and from collaborators.']	(7729, 8067)
365	PMC5904225	41	['Fetal pituitary tissue (19Â\xa0weeks corrected gestational age) was accessed through the Human Developmental Biology Resource (HDBR).']	(8068, 8198)
366	PMC5904225	42	['Further details can be found in Suppl.']	(8199, 8237)
367	PMC5904225	43	['Materials and Methods (Online Resource 1).']	(8238, 8280)
368	PMC5904225	44	['Laser capture microdissection (LCM)\n\nTwo cases (JA004, JA029) were used for LCM because they contained easily definable histological features (clusters, palisading epithelium and glial reaction) and cryopreserved tissue of sufficient quality was available.']	(8282, 8538)
369	PMC5904225	45	['Further details can be found in Suppl.']	(8539, 8577)
370	PMC5904225	46	['Materials and Methods (Online Resource 1).']	(8578, 8620)
371	PMC5904225	47	['RNA sequencing\n\nFor human ACP samples sequencing was performed by UCL Genomics.']	(8622, 8701)
372	PMC5904225	48	['Murine ACP samples were sequenced by the Oxford Wellcome Trust Centre for Human Genetics.']	(8702, 8791)
373	PMC5904225	49	['Further details can be found in Suppl.']	(8792, 8830)
374	PMC5904225	50	['Materials and Methods (Online Resource 1).']	(8831, 8873)
375	PMC5904225	51	['Immunostaining of histological sections\n\nImmunohistochemistry and immunofluorescence staining was performed as previously described.']	(8875, 9007)
376	PMC5904225	52	['Antibody details can be found in Suppl.']	(9008, 9047)
377	PMC5904225	53	['Materials and Methods (Online Resource 1).']	(9048, 9090)
378	PMC5904225	54	['Ex vivo culture of mouse and human tumours\n\nEx vivo culture of neoplastic pituitaries was performed as described in the presence of either trametinib at 2 or 20Â\xa0nM (Mekinist) or DMSO (vehicle control).']	(9092, 9294)
379	PMC5904225	55	['Histological analysis was performed after 18Â\xa0h. Small pieces of human ACP (around 1â\x80\x932Â\xa0mm3) were cultured in identical conditions.']	(9295, 9428)
380	PMC5904225	56	['The proportion of Ki67 positive and cleaved caspase-3 cells in the ex vivo culture experiments was calculated as an index out of the total DAPI-stained nuclei.']	(9429, 9588)
381	PMC5904225	57	['Over 150,000Â\xa0DAPI nuclei were counted from six histological sections per pituitary in a total of six neoplastic pituitaries.']	(9589, 9714)
382	PMC5904225	58	['Three human tumours were used in the ex vivo experiments and the Ki-67 and cleaved caspase-3 index calculated as described above from four histological sections per tumour (over 192,000Â\xa0cells counted).']	(9715, 9917)
383	PMC5904225	59	['Cytokine multiplex ELISA\n\nLevels of TNF-Î±, IFN-Î³, IL-1Î², IL-6.']	(9919, 9984)
384	PMC5904225	60	['IL-8, IL-10 and IL-18 were measured in ACP tumour and ACP cystic fluid using a Meso Scale Discovery (MSD) multiplex kit (Meso Scale Diagnostics) as per the manufacturerâ\x80\x99s instructions.']	(9985, 10171)
385	PMC5904225	61	['For solid tumours, protein lysates were extracted from pieces of fresh frozen ACP.']	(10172, 10254)
